,ms.coef,ms.SE,ms.LCL,ms.UCL,samplenum,duration
psi(Int),0.85208961,0.461479386,-0.052409987,1.756589207,20,3600
p(Int),-0.84497306,0.146397777,-1.131912702,-0.558033418,20,3600
p(tsss.s),2.352349871,3.910112455,-5.311470541,10.01617028,20,3600
p(tsss.s2),-7.237669592,4.798870605,-16.64345598,2.168116794,20,3600
p(latitude),0.302833277,0.200436814,-0.090022879,0.695689432,20,3600
p(tsssXlat.s),-3.544774308,3.750271107,-10.89530568,3.805757061,20,3600
p(tsss2Xlat.s),8.269818372,4.620430685,-0.786225771,17.32586252,20,3600
p(ordinal.s),5.990866901,3.173002774,-0.228218536,12.20995234,20,3600
p(ordinal.s2),-6.143838559,3.195227421,-12.4064843,0.118807186,20,3600
